match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1491714,New Zealand,Australia,Australia,Australia,field,"Bay Oval, Mount Maunganui",Mount Maunganui,2025-10-01,male
1415744,Bangladesh,Australia,Australia,Australia,field,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,2024-06-20,male
412695,West Indies,India,West Indies,India,field,"Kensington Oval, Bridgetown",Barbados,2010-05-09,male
1278687,India,South Africa,South Africa,South Africa,field,"Arun Jaitley Stadium, Delhi",Delhi,2022-06-09,male
251487,New Zealand,Sri Lanka,Sri Lanka,New Zealand,bat,Westpac Stadium,Wellington,2006-12-22,male
1433375,West Indies,England,England,England,field,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,2024-11-14,male
951347,Australia,Bangladesh,Australia,Australia,field,M Chinnaswamy Stadium,Bangalore,2016-03-21,male
1505125,West Indies,Bangladesh,West Indies,West Indies,bat,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,2025-10-27,male
1198490,Pakistan,Sri Lanka,Sri Lanka,Sri Lanka,bat,Gaddafi Stadium,Lahore,2019-10-07,male
1278691,India,South Africa,,South Africa,field,"M Chinnaswamy Stadium, Bangalore",Bengaluru,2022-06-19,male
412683,Australia,Pakistan,Australia,Australia,bat,"Beausejour Stadium, Gros Islet",St Lucia,2010-05-02,male
1310941,Zimbabwe,Namibia,Namibia,Namibia,field,"Queens Sports Club, Bulawayo",Bulawayo,2022-05-22,male
1140992,India,Ireland,India,Ireland,field,"The Village, Malahide",Dublin,2018-06-27,male
1373583,England,West Indies,West Indies,West Indies,field,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,2023-12-21,male
1199517,Namibia,Scotland,Namibia,Namibia,bat,ICC Academy,Dubai,2019-10-22,male
1449303,India,South Africa,India,South Africa,field,"SuperSport Park, Centurion",Centurion,2024-11-13,male
1327274,Pakistan,Hong Kong,Pakistan,Hong Kong,field,Sharjah Cricket Stadium,Sharjah,2022-09-02,male
936153,South Africa,Sri Lanka,South Africa,Sri Lanka,field,SuperSport Park,Centurion,2017-01-20,male
1439902,India,England,India,England,field,"Maharashtra Cricket Association Stadium, Pune",Pune,2025-01-31,male
682909,Netherlands,Zimbabwe,Zimbabwe,Netherlands,bat,Sylhet Stadium,,2014-03-19,male
1187677,New Zealand,India,India,India,field,Eden Park,Auckland,2020-01-24,male
1355720,Bangladesh,Ireland,Bangladesh,Ireland,field,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,2023-03-27,male
1257185,Pakistan,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club,Harare,2021-04-25,male
914219,New Zealand,Sri Lanka,New Zealand,New Zealand,field,Eden Park,Auckland,2016-01-10,male
258464,England,West Indies,England,West Indies,bat,Kennington Oval,London,2007-06-29,male
1298168,Zimbabwe,Netherlands,Netherlands,Zimbabwe,bat,Adelaide Oval,Adelaide,2022-11-02,male
1483787,Bangladesh,Pakistan,Pakistan,Pakistan,field,"Gaddafi Stadium, Lahore",Lahore,2025-06-01,male
287870,Australia,Pakistan,Pakistan,Pakistan,field,New Wanderers Stadium,Johannesburg,2007-09-18,male
589306,India,Pakistan,Pakistan,Pakistan,field,M Chinnaswamy Stadium,Bangalore,2012-12-25,male
1425130,Bangladesh,Zimbabwe,Zimbabwe,Zimbabwe,field,"Shere Bangla National Stadium, Mirpur",Dhaka,2024-05-12,male
566927,England,New Zealand,,New Zealand,field,Kennington Oval,London,2013-06-27,male
562437,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,2012-06-01,male
1142501,Netherlands,Ireland,Netherlands,Ireland,field,Hazelaarweg,Rotterdam,2018-06-12,male
1172508,Ireland,Scotland,Scotland,Scotland,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2019-02-15,male
1142917,Pakistan,Australia,Pakistan,Australia,field,Harare Sports Club,,2018-07-05,male
571149,Australia,Pakistan,,Pakistan,bat,Dubai International Cricket Stadium,,2012-09-07,male
1317482,West Indies,Australia,Australia,Australia,field,Carrara Oval,Carrara,2022-10-05,male
533290,Australia,South Africa,Australia,Australia,field,R Premadasa Stadium,Colombo,2012-09-30,male
386494,New Zealand,India,New Zealand,New Zealand,field,AMI Stadium,Christchurch,2009-02-25,male
439510,Ireland,Netherlands,Ireland,Ireland,bat,Dubai International Cricket Stadium,,2010-02-13,male
1512766,India,Zimbabwe,India,Zimbabwe,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2026-02-26,male
966761,India,United Arab Emirates,India,United Arab Emirates,bat,Shere Bangla National Stadium,Mirpur,2016-03-03,male
1339616,New Zealand,Pakistan,New Zealand,New Zealand,bat,"Gaddafi Stadium, Lahore",Lahore,2023-04-17,male
736063,South Africa,West Indies,South Africa,West Indies,field,Kingsmead,Durban,2015-01-14,male
1299581,Ireland,Oman,Ireland,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-22,male
1273272,Zimbabwe,Scotland,Zimbabwe,Zimbabwe,bat,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,2021-09-17,male
560922,New Zealand,West Indies,West Indies,West Indies,bat,Central Broward Regional Park Stadium Turf Ground,Lauderhill,2012-07-01,male
1424832,New Zealand,Pakistan,New Zealand,Pakistan,field,"Gaddafi Stadium, Lahore",Lahore,2024-04-25,male
682925,England,New Zealand,New Zealand,New Zealand,field,Zahur Ahmed Chowdhury Stadium,Chattogram,2014-03-22,male
1454819,Netherlands,Oman,Oman,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2024-11-13,male
1273730,New Zealand,Pakistan,Pakistan,Pakistan,field,Sharjah Cricket Stadium,Sharjah,2021-10-26,male
1491903,Pakistan,Bangladesh,Bangladesh,Bangladesh,field,"Shere Bangla National Stadium, Mirpur",Dhaka,2025-07-20,male
1485940,Scotland,Nepal,Nepal,Nepal,field,"Titwood, Glasgow",Glasgow,2025-06-17,male
1502048,Zimbabwe,Pakistan,Pakistan,Pakistan,field,Rawalpindi Cricket Stadium,Rawalpindi,2025-11-18,male
1385697,Australia,England,Australia,England,field,"The Rose Bowl, Southampton",Southampton,2024-09-11,male
914223,New Zealand,Pakistan,New Zealand,Pakistan,bat,Seddon Park,Hamilton,2016-01-17,male
1322277,New Zealand,India,,New Zealand,bat,"McLean Park, Napier",Napier,2022-11-22,male
1298152,Zimbabwe,South Africa,,Zimbabwe,bat,"Bellerive Oval, Hobart",Hobart,2022-10-24,male
682933,Netherlands,Sri Lanka,Sri Lanka,Sri Lanka,field,Zahur Ahmed Chowdhury Stadium,Chittagong,2014-03-24,male
1512727,South Africa,Canada,South Africa,Canada,field,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2026-02-09,male
1183527,Australia,Pakistan,,Australia,field,Sydney Cricket Ground,Sydney,2019-11-03,male
392615,Australia,Pakistan,Pakistan,Pakistan,field,Dubai International Cricket Stadium,,2009-05-07,male
1243390,India,England,England,England,field,Narendra Modi Stadium,Ahmedabad,2021-03-16,male
1273726,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,field,Sharjah Cricket Stadium,Sharjah,2021-10-24,male
1158073,West Indies,England,England,West Indies,bat,"Warner Park, St Kitts",Basseterre,2019-03-10,male
1122286,India,South Africa,South Africa,South Africa,field,SuperSport Park,Centurion,2018-02-21,male
1303316,South Africa,Ireland,South Africa,Ireland,field,"County Ground, Bristol",Bristol,2022-08-05,male
350475,South Africa,Australia,South Africa,South Africa,field,New Wanderers Stadium,Johannesburg,2009-03-27,male
1348651,India,New Zealand,India,India,bat,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-02-01,male
1117824,Pakistan,ICC World XI,Pakistan,ICC World XI,field,Gaddafi Stadium,Lahore,2017-09-15,male
533286,Pakistan,South Africa,Pakistan,South Africa,bat,R Premadasa Stadium,Colombo,2012-09-28,male
573027,Australia,West Indies,West Indies,West Indies,bat,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2013-02-13,male
1512770,West Indies,India,India,India,field,"Eden Gardens, Kolkata",Kolkata,2026-03-01,male
255954,South Africa,India,India,South Africa,bat,New Wanderers Stadium,Johannesburg,2006-12-01,male
1323295,Zimbabwe,Bangladesh,Zimbabwe,Zimbabwe,bat,Harare Sports Club,Harare,2022-07-30,male
489212,West Indies,Pakistan,West Indies,West Indies,bat,"Beausejour Stadium, Gros Islet",St Lucia,2011-04-21,male
473918,New Zealand,Pakistan,New Zealand,New Zealand,field,Eden Park,Auckland,2010-12-26,male
530432,Pakistan,Sri Lanka,Pakistan,Sri Lanka,bat,Sheikh Zayed Stadium,Abu Dhabi,2011-11-25,male
1399114,Pakistan,Hong Kong,Pakistan,Hong Kong,field,Zhejiang University of Technology Cricket Field,Hangzhou,2023-10-03,male
520598,New Zealand,South Africa,South Africa,South Africa,field,Seddon Park,Hamilton,2012-02-19,male
1327281,Sri Lanka,Pakistan,Sri Lanka,Pakistan,field,Dubai International Cricket Stadium,Dubai,2022-09-11,male
884349,South Africa,Australia,Australia,Australia,field,New Wanderers Stadium,Johannesburg,2016-03-06,male
1144162,South Africa,Pakistan,South Africa,Pakistan,field,The Wanderers Stadium,Johannesburg,2019-02-03,male
1187006,India,South Africa,South Africa,India,bat,M.Chinnaswamy Stadium,Bengaluru,2019-09-22,male
1239542,Pakistan,England,England,Pakistan,bat,"Old Trafford, Manchester",Manchester,2021-07-20,male
966757,India,Sri Lanka,India,India,field,Shere Bangla National Stadium,Mirpur,2016-03-01,male
1133819,Sri Lanka,Bangladesh,Bangladesh,Bangladesh,field,"R.Premadasa Stadium, Khettarama",Colombo,2018-03-10,male
690353,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,bat,Zahur Ahmed Chowdhury Stadium,Chittagong,2014-02-14,male
1197143,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,field,Zahur Ahmed Chowdhury Stadium,Chattogram,2019-09-18,male
915783,Sri Lanka,West Indies,Sri Lanka,West Indies,field,Pallekele International Cricket Stadium,,2015-11-09,male
1491718,England,New Zealand,England,New Zealand,field,"Hagley Oval, Christchurch",Christchurch,2025-10-20,male
1317908,New Zealand,West Indies,New Zealand,West Indies,field,"Sabina Park, Kingston, Jamaica",Kingston,2022-08-10,male
1384634,Ireland,India,India,India,field,"Malahide, Dublin",Dublin,2023-08-18,male
1496931,India,Oman,India,India,bat,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2025-09-19,male
412699,India,Sri Lanka,Sri Lanka,India,bat,"Beausejour Stadium, Gros Islet",St Lucia,2010-05-11,male
1243021,South Africa,Pakistan,Pakistan,Pakistan,field,Gaddafi Stadium,Lahore,2021-02-14,male
1451816,West Indies,Sri Lanka,Sri Lanka,West Indies,bat,Rangiri Dambulla International Stadium,Dambulla,2024-10-17,male
1144174,South Africa,Sri Lanka,South Africa,Sri Lanka,field,The Wanderers Stadium,Johannesburg,2019-03-24,male
742617,New Zealand,Pakistan,Pakistan,Pakistan,field,Dubai International Cricket Stadium,,2014-12-04,male
1432211,South Africa,Pakistan,South Africa,South Africa,bat,"Kingsmead, Durban",Durban,2024-12-10,male
1490236,New Zealand,India,India,India,field,"Barsapara Cricket Stadium, Guwahati",Guwahati,2026-01-25,male
1348325,Ireland,Zimbabwe,Zimbabwe,Zimbabwe,field,Harare Sports Club,Harare,2023-01-15,male
1249206,Sri Lanka,England,England,Sri Lanka,bat,"Sophia Gardens, Cardiff",Cardiff,2021-06-23,male
1273747,New Zealand,Namibia,New Zealand,Namibia,field,Sharjah Cricket Stadium,Sharjah,2021-11-05,male
300436,New Zealand,England,England,England,bat,Jade Stadium,Christchurch,2008-02-07,male
1256720,England,West Indies,West Indies,West Indies,field,"Kensington Oval, Bridgetown, Barbados",Bridgetown,2022-01-22,male
1278672,New Zealand,India,India,India,field,"JSCA International Stadium Complex, Ranchi",Ranchi,2021-11-19,male
1496927,Hong Kong,Sri Lanka,Sri Lanka,Sri Lanka,field,Dubai International Cricket Stadium,Dubai,2025-09-15,male
1074970,Ireland,Scotland,Ireland,Scotland,field,Dubai International Cricket Stadium,,2017-01-20,male
903587,India,South Africa,South Africa,South Africa,field,Himachal Pradesh Cricket Association Stadium,Dharmasala,2015-10-02,male
1276904,India,England,India,India,bat,"The Rose Bowl, Southampton",Southampton,2022-07-07,male
387564,South Africa,England,South Africa,South Africa,bat,SuperSport Park,Centurion,2009-11-15,male
225271,England,Sri Lanka,Sri Lanka,Sri Lanka,bat,The Rose Bowl,Southampton,2006-06-15,male
355991,England,Netherlands,Netherlands,Netherlands,field,Lord's,London,2009-06-05,male
1298164,India,South Africa,South Africa,India,bat,Perth Stadium,Perth,2022-10-30,male
