match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1354944,Quetta Gladiators,Islamabad United,Islamabad United,Islamabad United,field,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-05,male
1354945,Karachi Kings,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,field,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-06,male
1354946,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bat,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-07,male
1354947,Multan Sultans,Islamabad United,Islamabad United,Islamabad United,field,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-07,male
1354948,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,Peshawar Zalmi,bat,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-08,male
1354949,Lahore Qalandars,Islamabad United,Lahore Qalandars,Lahore Qalandars,bat,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-09,male
1354950,Peshawar Zalmi,Multan Sultans,Multan Sultans,Peshawar Zalmi,bat,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-10,male
1354951,Multan Sultans,Quetta Gladiators,Multan Sultans,Quetta Gladiators,field,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-11,male
1354952,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,Islamabad United,field,Rawalpindi Cricket Stadium,Rawalpindi,2023-03-12,male
1354953,Karachi Kings,Lahore Qalandars,Karachi Kings,Karachi Kings,bat,"Gaddafi Stadium, Lahore",Lahore,2023-03-12,male
1354954,Multan Sultans,Lahore Qalandars,Multan Sultans,Multan Sultans,bat,"Gaddafi Stadium, Lahore",Lahore,2023-03-15,male
1354955,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,Islamabad United,field,"Gaddafi Stadium, Lahore",Lahore,2023-03-16,male
1354956,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,Peshawar Zalmi,bat,"Gaddafi Stadium, Lahore",Lahore,2023-03-17,male
1354957,Lahore Qalandars,Multan Sultans,Lahore Qalandars,Lahore Qalandars,bat,"Gaddafi Stadium, Lahore",Lahore,2023-03-18,male
1416472,Lahore Qalandars,Islamabad United,Islamabad United,Islamabad United,field,"Gaddafi Stadium, Lahore",Lahore,2024-02-17,male
1416473,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,"Gaddafi Stadium, Lahore",Lahore,2024-02-18,male
1416474,Multan Sultans,Karachi Kings,Multan Sultans,Karachi Kings,field,Multan Cricket Stadium,Multan,2024-02-18,male
1416475,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,Lahore Qalandars,bat,"Gaddafi Stadium, Lahore",Lahore,2024-02-19,male
