match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1443064,Sydney Thunder,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium,Sydney,2024-12-21,male
1443065,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2024-12-22,male
1443066,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,field,"Docklands Stadium, Melbourne",Melbourne,2024-12-23,male
1443067,Melbourne Stars,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,Sydney Cricket Ground,Sydney,2024-12-26,male
1443068,Perth Scorchers,Brisbane Heat,Perth Scorchers,Brisbane Heat,field,Perth Stadium,Perth,2024-12-26,male
1443069,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,field,Adelaide Oval,Adelaide,2024-12-27,male
1443070,Sydney Thunder,Melbourne Stars,Sydney Thunder,Melbourne Stars,field,"Manuka Oval, Canberra",Canberra,2024-12-28,male
1443071,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2024-12-29,male
1443072,Sydney Thunder,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,field,Sydney Showground Stadium,Sydney,2024-12-30,male
1443073,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Adelaide Oval,Adelaide,2024-12-31,male
1443074,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,field,"Bellerive Oval, Hobart",Hobart,2025-01-01,male
1443075,Brisbane Heat,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2025-01-01,male
1443076,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,field,"Docklands Stadium, Melbourne",Melbourne,2025-01-02,male
1443078,Perth Scorchers,Sydney Thunder,Sydney Thunder,Sydney Thunder,field,Perth Stadium,Perth,2025-01-03,male
1443079,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,Melbourne Cricket Ground,Melbourne,2025-01-04,male
1443080,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,bat,"Bellerive Oval, Hobart",Hobart,2025-01-05,male
1443081,Sydney Thunder,Brisbane Heat,Brisbane Heat,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2025-01-06,male
1443082,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,field,Perth Stadium,Perth,2025-01-07,male
1443084,Melbourne Stars,Sydney Sixers,Melbourne Stars,Sydney Sixers,field,Melbourne Cricket Ground,Melbourne,2025-01-09,male
1443085,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,"Bellerive Oval, Hobart",Hobart,2025-01-10,male
1443086,Sydney Sixers,Perth Scorchers,Sydney Sixers,Perth Scorchers,field,Sydney Cricket Ground,Sydney,2025-01-11,male
1443087,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,Brisbane Heat,field,Adelaide Oval,Adelaide,2025-01-11,male
1443088,Melbourne Stars,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,"Docklands Stadium, Melbourne",Melbourne,2025-01-12,male
1443089,Sydney Thunder,Perth Scorchers,Sydney Thunder,Perth Scorchers,field,Sydney Showground Stadium,Sydney,2025-01-13,male
1443090,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,"Bellerive Oval, Hobart",Hobart,2025-01-14,male
1443091,Adelaide Strikers,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,Adelaide Oval,Adelaide,2025-01-15,male
1443092,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2025-01-16,male
1443093,Sydney Thunder,Sydney Sixers,,Sydney Sixers,field,Sydney Cricket Ground,Sydney,2025-01-17,male
1443094,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,field,"Docklands Stadium, Melbourne",Melbourne,2025-01-18,male
1443095,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Perth Stadium,Perth,2025-01-18,male
1443096,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,field,Melbourne Cricket Ground,Melbourne,2025-01-19,male
1443097,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,field,"Bellerive Oval, Hobart",Hobart,2025-01-21,male
1443098,Sydney Thunder,Melbourne Stars,Sydney Thunder,Melbourne Stars,field,Sydney Showground Stadium,Sydney,2025-01-22,male
1443099,Sydney Sixers,Sydney Thunder,Sydney Thunder,Sydney Thunder,field,Sydney Cricket Ground,Sydney,2025-01-24,male
1443100,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,"Bellerive Oval, Hobart",Hobart,2025-01-27,male
1493238,Sydney Sixers,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Perth Stadium,Perth,2025-12-14,male
1493239,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,"GMHBA Stadium, South Geelong, Victoria",Geelong,2025-12-15,male
1493240,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,"Bellerive Oval, Hobart",Hobart,2025-12-16,male
1493241,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,field,Sydney Cricket Ground,Sydney,2025-12-17,male
1493242,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,Melbourne Cricket Ground,Melbourne,2025-12-18,male
1493243,Perth Scorchers,Brisbane Heat,Brisbane Heat,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2025-12-19,male
1493244,Sydney Sixers,Sydney Thunder,Sydney Sixers,Sydney Thunder,field,Sydney Showground Stadium,Sydney,2025-12-20,male
1493245,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,"GMHBA Stadium, South Geelong, Victoria",Geelong,2025-12-21,male
1493246,Sydney Thunder,Brisbane Heat,Sydney Thunder,Brisbane Heat,field,"Manuka Oval, Canberra",Canberra,2025-12-22,male
1493247,Adelaide Strikers,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,Adelaide Oval,Adelaide,2025-12-23,male
1493248,Sydney Sixers,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,Sydney Cricket Ground,Sydney,2025-12-26,male
1493249,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,Perth Stadium,Perth,2025-12-26,male
1493250,Brisbane Heat,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2025-12-27,male
1493251,Sydney Thunder,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,"Manuka Oval, Canberra",Canberra,2025-12-28,male
1493252,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,"Bellerive Oval, Hobart",Hobart,2025-12-29,male
1493253,Perth Scorchers,Sydney Thunder,Perth Scorchers,Sydney Thunder,field,Sydney Showground Stadium,Sydney,2025-12-30,male
1493254,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,field,Adelaide Oval,Adelaide,2025-12-31,male
1493255,Melbourne Renegades,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,"Docklands Stadium, Melbourne",Melbourne,2026-01-01,male
1493256,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,field,"Bellerive Oval, Hobart",Hobart,2026-01-01,male
1493257,Melbourne Stars,Brisbane Heat,Brisbane Heat,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2026-01-02,male
1493258,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Showground Stadium,Sydney,2026-01-03,male
1493259,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,field,Melbourne Cricket Ground,Melbourne,2026-01-04,male
1493260,Perth Scorchers,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,field,Perth Stadium,Perth,2026-01-04,male
1493261,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,"International Sports Stadium, Coffs Harbour",Coffs Harbour,2026-01-05,male
1493262,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Sydney Thunder,field,Adelaide Oval,Adelaide,2026-01-06,male
1493263,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,field,Perth Stadium,Perth,2026-01-07,male
1493264,Melbourne Stars,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,Melbourne Cricket Ground,Melbourne,2026-01-08,male
1493265,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,field,"Bellerive Oval, Hobart",Hobart,2026-01-09,male
1493266,Sydney Thunder,Brisbane Heat,Brisbane Heat,Sydney Thunder,bat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2026-01-10,male
1493267,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,"Docklands Stadium, Melbourne",Melbourne,2026-01-10,male
1493268,Sydney Sixers,Hobart Hurricanes,,Hobart Hurricanes,field,Sydney Cricket Ground,Sydney,2026-01-11,male
1493269,Perth Scorchers,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,field,Adelaide Oval,Adelaide,2026-01-11,male
1493270,Melbourne Renegades,Sydney Thunder,Sydney Thunder,Sydney Thunder,field,Sydney Showground Stadium,Sydney,2026-01-12,male
1493271,Adelaide Strikers,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,Melbourne Cricket Ground,Melbourne,2026-01-13,male
1493272,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,"Bellerive Oval, Hobart",Hobart,2026-01-14,male
1493273,Perth Scorchers,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,field,"Docklands Stadium, Melbourne",Melbourne,2026-01-15,male
