match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1390167,Hungary,Croatia,Hungary,Hungary,bat,"GB Oval, Szodliget",Szodliget,2023-08-05,male
1115807,Pakistan,New Zealand,New Zealand,New Zealand,field,Westpac Stadium,Wellington,2018-01-22,male
1332510,Tanzania,Uganda,Uganda,Uganda,field,"Willowmoore Park, Benoni",Benoni,2022-09-22,male
1444954,Samoa,Cook Islands,Cook Islands,Cook Islands,field,"Faleata Oval No 2, Apia",Apia,2024-08-19,male
1233960,Pakistan,New Zealand,New Zealand,Pakistan,bat,Seddon Park,Hamilton,2020-12-20,male
1498696,Belgium,Austria,Austria,Austria,field,"Velden Cricket Ground, Latschach",Latschach,2025-08-23,male
1462923,Uganda,Rwanda,Uganda,Rwanda,field,"Gahanga International Cricket Stadium, Rwanda",Kigali City,2024-12-12,male
1321279,Romania,Sweden,Sweden,Romania,bat,Tikkurila Cricket Ground,Vantaa,2022-07-19,male
1462889,Bahamas,Belize,Bahamas,Belize,field,"St Albans Club, Buenos Aires",Buenos Aires,2024-12-10,male
1322005,Bhutan,Maldives,Bhutan,Maldives,field,"UKM-YSD Cricket Oval, Bangi",Bangi,2022-07-07,male
1310174,Czech Republic,Gibraltar,Czech Republic,Czech Republic,bat,Marsa Sports Club,Marsa,2022-05-11,male
1303308,India,Ireland,India,India,bat,"The Village, Malahide, Dublin",Dublin,2022-06-28,male
1491726,West Indies,New Zealand,,New Zealand,field,"Saxton Oval, Nelson",Nelson,2025-11-10,male
951363,India,Australia,India,Australia,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-03-27,male
582186,Sri Lanka,New Zealand,,Sri Lanka,field,Pallekele International Cricket Stadium,,2012-10-30,male
1422813,Kuwait,Malaysia,Malaysia,Malaysia,field,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2024-03-09,male
1398296,Malaysia,Papua New Guinea,Papua New Guinea,Malaysia,bat,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2023-09-20,male
1475531,Hong Kong,Bahrain,Bahrain,Hong Kong,bat,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2025-03-17,male
1202010,Malaysia,Vanuatu,Vanuatu,Malaysia,bat,Kinrara Academy Oval,Kuala Lumpur,2019-10-03,male
1405326,United Arab Emirates,Nepal,Nepal,United Arab Emirates,bat,Mulpani Cricket Ground,Kathmandu,2023-11-03,male
211028,England,Australia,England,England,bat,The Rose Bowl,Southampton,2005-06-13,male
1263153,South Africa,West Indies,South Africa,West Indies,field,"National Cricket Stadium, St George's, Grenada",St George's,2021-06-29,male
533298,Sri Lanka,West Indies,West Indies,West Indies,bat,R Premadasa Stadium,Colombo,2012-10-07,male
636165,Australia,England,Australia,England,bat,Melbourne Cricket Ground,,2014-01-31,male
1328849,Hong Kong,Singapore,Hong Kong,Singapore,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-08-20,male
356012,Ireland,Pakistan,Pakistan,Pakistan,bat,Kennington Oval,London,2009-06-15,male
1424752,Zimbabwe,Namibia,Zimbabwe,Zimbabwe,bat,"Achimota Senior Secondary School A Field, Accra",Accra,2024-03-17,male
1344791,Oman,Bahrain,Oman,Bahrain,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-11-19,male
1485509,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,field,Rangiri Dambulla International Stadium,Dambulla,2025-07-13,male
1233464,Zimbabwe,Pakistan,Pakistan,Zimbabwe,bat,Rawalpindi Cricket Stadium,,2020-11-07,male
1510180,Indonesia,Bahrain,Bahrain,Bahrain,field,Udayana Cricket Ground,Bali,2025-11-21,male
1299566,Nepal,Oman,Nepal,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-18,male
1199533,Ireland,Nigeria,Ireland,Nigeria,bat,Sheikh Zayed Stadium,Abu Dhabi,2019-10-26,male
1199499,Scotland,Singapore,Singapore,Scotland,field,ICC Academy,Dubai,2019-10-18,male
1077948,West Indies,Pakistan,Pakistan,West Indies,field,"Queen's Park Oval, Port of Spain",Trinidad,2017-03-30,male
567353,South Africa,New Zealand,South Africa,New Zealand,bat,Kingsmead,Durban,2012-12-21,male
1463666,Oman,Kuwait,Kuwait,Oman,bat,"ICC Academy, Dubai",Dubai,2024-12-20,male
287878,Australia,India,India,India,bat,Kingsmead,Durban,2007-09-22,male
1321469,Zimbabwe,Jersey,Zimbabwe,Jersey,field,"Queens Sports Club, Bulawayo",Bulawayo,2022-07-12,male
1438073,Denmark,Jersey,Jersey,Jersey,field,"Svanholm Park, Brondby",Brondby,2024-06-16,male
355995,Scotland,South Africa,South Africa,Scotland,field,Kennington Oval,London,2009-06-07,male
1343756,Mali,Botswana,Botswana,Botswana,field,Gahanga International Cricket Stadium. Rwanda,Kigali City,2022-11-22,male
1403289,Hong Kong,Nepal,Nepal,Nepal,field,Mulpani Cricket Ground,Kathmandu,2023-10-19,male
1412532,Indonesia,Philippines,Indonesia,Philippines,field,Udayana Cricket Ground,Bali,2023-12-23,male
682901,Ireland,Zimbabwe,Ireland,Ireland,field,Sylhet Stadium,,2014-03-17,male
1496831,Cyprus,Croatia,Cyprus,Cyprus,bat,"Mladost Cricket Ground, Zagreb",Zagreb,2025-08-08,male
1199548,Ireland,Namibia,Ireland,Ireland,bat,Dubai International Cricket Stadium,Dubai,2019-11-02,male
1273714,Netherlands,Ireland,Ireland,Netherlands,bat,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-10-18,male
1379581,Kenya,Uganda,Uganda,Kenya,bat,"Gymkhana Club Ground, Nairobi",Nairobi,2023-06-18,male
1267307,Bulgaria,Romania,Romania,Bulgaria,bat,"National Sports Academy, Sofia",Sofia,2021-06-25,male
1349137,Rwanda,Uganda,Uganda,Uganda,field,"Gahanga International Cricket Stadium, Rwanda",Kigali City,2022-12-20,male
1190769,Nepal,Qatar,Qatar,Nepal,bat,Indian Association Ground,Singapore,2019-07-23,male
1153318,Bangladesh,West Indies,Bangladesh,West Indies,field,"Shere Bangla National Stadium, Mirpur",Dhaka,2018-12-20,male
1321310,Austria,Czech Republic,Czech Republic,Czech Republic,field,"Scott Page Field, Vinor",Prague,2022-07-10,male
1332496,Botswana,Uganda,Uganda,Uganda,field,"Willowmoore Park, Benoni",Benoni,2022-09-15,male
1439818,Croatia,Belgium,Croatia,Croatia,bat,Bayer Uerdingen Cricket Ground,Krefeld,2024-07-08,male
1488340,Denmark,Sweden,Denmark,Denmark,bat,Koge Cricket Club,Koge,2025-06-14,male
1487631,Switzerland,Luxembourg,Switzerland,Luxembourg,field,Pierre Werner Cricket Ground,Walferdange,2025-06-21,male
1496923,Pakistan,Oman,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,Dubai,2025-09-12,male
1298137,Scotland,West Indies,Scotland,West Indies,field,"Bellerive Oval, Hobart",Hobart,2022-10-17,male
1447483,Hong Kong,Singapore,Hong Kong,Singapore,field,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2024-09-02,male
1420802,Saudi Arabia,Maldives,Saudi Arabia,Saudi Arabia,bat,"Terdthai Cricket Ground, Bangkok",Bangkok,2024-02-12,male
1482825,Japan,Thailand,Thailand,Japan,bat,Sano International Cricket Ground,Sano,2025-05-11,male
1275044,Kenya,Uganda,Kenya,Kenya,bat,Entebbe Cricket Oval,Entebbe,2021-09-10,male
1256724,West Indies,England,West Indies,West Indies,bat,"Kensington Oval, Bridgetown, Barbados",Bridgetown,2022-01-30,male
1176797,Papua New Guinea,Vanuatu,Papua New Guinea,Vanuatu,bat,Amini Park,Port Moresby,2019-03-24,male
1512742,New Zealand,South Africa,South Africa,South Africa,field,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2026-02-14,male
1327505,Australia,India,India,India,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2022-09-25,male
1436485,Portugal,Israel,Israel,Portugal,bat,Roma Cricket Ground,Spinaceto,2024-06-13,male
531636,England,Pakistan,England,England,bat,Dubai International Cricket Stadium,,2012-02-25,male
1418187,Japan,Maldives,Japan,Japan,bat,"Terdthai Cricket Ground, Bangkok",Bangkok,2024-02-04,male
1492825,Zimbabwe,Sri Lanka,Sri Lanka,Sri Lanka,field,Harare Sports Club,Harare,2025-09-07,male
1399151,Panama,Cayman Islands,Cayman Islands,Panama,bat,"White Hill Field, Sandys Parish",Hamilton,2023-09-30,male
1477609,West Indies,South Africa,South Africa,South Africa,field,"Boland Park, Paarl",Paarl,2026-01-27,male
1381218,India,West Indies,West Indies,India,bat,"Providence Stadium, Guyana",Providence,2023-08-06,male
1495460,Rwanda,Malawi,Malawi,Malawi,field,"Gahanga International Cricket Stadium, Rwanda",Kigali City,2025-07-23,male
1273743,New Zealand,Scotland,New Zealand,Scotland,field,Dubai International Cricket Stadium,Dubai,2021-11-03,male
1328473,Kuwait,Bahrain,Kuwait,Bahrain,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-08-17,male
966745,India,Bangladesh,India,Bangladesh,field,Shere Bangla National Stadium,Dhaka,2016-02-24,male
1499013,Romania,Czech Republic,Romania,Czech Republic,field,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,2025-08-22,male
930575,Hong Kong,Oman,Oman,Oman,field,Sheikh Zayed Stadium,Abu Dhabi,2015-11-21,male
1187014,India,Bangladesh,India,India,field,Saurashtra Cricket Association Stadium,Rajkot,2019-11-07,male
1431086,Ireland,South Africa,South Africa,South Africa,field,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2024-09-27,male
534208,England,West Indies,England,West Indies,bat,Trent Bridge,Nottingham,2012-06-24,male
1072320,New Zealand,Australia,Australia,New Zealand,bat,Eden Park,Auckland,2018-02-16,male
895819,Australia,India,India,Australia,field,Melbourne Cricket Ground,,2016-01-29,male
1456441,New Zealand,Sri Lanka,Sri Lanka,New Zealand,bat,Rangiri Dambulla International Stadium,Dambulla,2024-11-09,male
1447495,Myanmar,Singapore,Singapore,Singapore,field,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2024-09-09,male
1177485,United Arab Emirates,United States of America,United Arab Emirates,United Arab Emirates,bat,ICC Academy,Dubai,2019-03-16,male
1496935,India,Bangladesh,India,Bangladesh,field,Dubai International Cricket Stadium,Dubai,2025-09-24,male
1186490,Maldives,Thailand,Maldives,Thailand,bat,Kinrara Academy Oval,Kuala Lumpur,2019-06-26,male
1433384,Bangladesh,West Indies,Bangladesh,West Indies,field,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,2024-12-17,male
1185316,South Africa,Australia,Australia,South Africa,field,The Wanderers Stadium,Johannesburg,2020-02-21,male
1503450,Samoa,Oman,Oman,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2025-10-08,male
963697,India,Sri Lanka,Sri Lanka,Sri Lanka,field,Maharashtra Cricket Association Stadium,Pune,2016-02-09,male
1476798,Canada,Namibia,Namibia,Namibia,field,"Namibia Cricket Ground, Windhoek",Windhoek,2025-03-23,male
1418191,Maldives,Thailand,Thailand,Maldives,bat,"Terdthai Cricket Ground, Bangkok",Bangkok,2024-02-06,male
951359,Bangladesh,New Zealand,New Zealand,New Zealand,bat,Eden Gardens,Kolkata,2016-03-26,male
1436493,Portugal,Isle of Man,Portugal,Portugal,bat,Roma Cricket Ground,Spinaceto,2024-06-16,male
1512754,India,Netherlands,India,India,bat,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2026-02-18,male
1275052,Spain,Germany,Germany,Germany,field,"Desert Springs Cricket Ground, Almeria",Almeria,2021-09-10,male
1323550,Bulgaria,Serbia,Serbia,Serbia,field,Lisicji Jarak Cricket Ground,Belgrade,2022-07-08,male
